First Name,Last Name,Email,Gender,Age,Profession,Employer,Employer Address,Base Salary,Credit Score,Question 1,Question 2,Question 3,Question 4,Question 5,Question 6,Question 7,Question 8,Question 9,Question 10,Credit Marks,Personality Marks,Spending Marks,Final Marks
Lucilia,McPhater,lmcphater2e@examiner.com,Agender,53,Help Desk Operator,Skipstorm,14 Lyons Alley,72409,878.0,Neutral,Somewhat Agree,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Strongly Agree,Neutral,Neutral,Strongly Agree,64.0,97.0,55.0,60.0
Rivy,Spary,rspary2f@auda.org.au,Female,62,Research Assistant I,Dynava,9826 South Park,95682,634.0,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Neutral,Somewhat Disagree,Strongly Agree,Somewhat Agree,Strongly Agree,70.0,69.0,91.0,63.0
Christophorus,Manwaring,cmanwaring2g@mlb.com,Male,64,Graphic Designer,Zooveo,40656 Logan Hill,34188,618.0,Strongly Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Somewhat Agree,Strongly Disagree,72.0,89.0,88.0,61.0
Cinderella,Tinniswood,ctinniswood2h@a8.net,Female,63,Staff Scientist,Youspan,765 Grim Trail,26166,841.0,Somewhat Disagree,Strongly Disagree,Neutral,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,66.0,99.0,98.0,75.0
Anatollo,Leachman,aleachman2i@google.pl,Male,29,Database Administrator II,Skinder,78466 Oriole Point,41631,763.0,Strongly Disagree,Neutral,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,89.0,69.0,100.0,66.0
Teresa,Hickford,thickford2j@uol.com.br,Female,25,Structural Engineer,Buzzshare,7189 Fallview Center,63402,639.0,Strongly Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Neutral,Strongly Disagree,Neutral,Strongly Agree,Somewhat Disagree,64.0,77.0,92.0,67.0
Kennie,Boyton,kboyton2k@miibeian.gov.cn,Male,27,Graphic Designer,Devcast,5796 Express Terrace,93084,748.0,Strongly Disagree,Strongly Agree,Strongly Agree,Neutral,Somewhat Agree,Neutral,Neutral,Strongly Disagree,Somewhat Disagree,Somewhat Agree,95.0,55.0,74.0,78.0
Deena,Richemond,drichemond2l@xinhuanet.com,Female,59,Assistant Manager,Skynoodle,144 Village Green Crossing,40217,594.0,Somewhat Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Neutral,Strongly Agree,Neutral,Strongly Disagree,Strongly Agree,63.0,79.0,78.0,69.0
Noelyn,Muff,nmuff2m@imdb.com,Female,19,Health Coach III,Eadel,3984 Raven Point,60543,879.0,Somewhat Agree,Strongly Agree,Strongly Agree,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,72.0,80.0,94.0,67.0
Teodor,Akroyd,takroyd2n@skyrock.com,Male,55,Payment Adjustment Coordinator,DabZ,6500 Mosinee Place,79564,660.0,Strongly Agree,Somewhat Disagree,Neutral,Strongly Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Neutral,Strongly Disagree,Strongly Disagree,83.0,63.0,97.0,84.0
Brocky,Landall,blandall2o@tumblr.com,Male,27,Research Assistant II,Skimia,78909 Del Mar Park,95460,896.0,Neutral,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Strongly Disagree,70.0,61.0,78.0,87.0
Sergio,Suff,ssuff2p@twitpic.com,Male,18,Biostatistician II,Feedmix,764 Utah Road,31366,803.0,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Neutral,Strongly Disagree,Neutral,Somewhat Disagree,Somewhat Agree,Neutral,Neutral,98.0,89.0,56.0,75.0
Gerta,Ilchuk,gilchuk2q@weather.com,Genderfluid,27,Senior Cost Accountant,Demizz,722 Paget Road,55220,868.0,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,66.0,82.0,78.0,50.0
Brockie,Haet,bhaet2r@stumbleupon.com,Male,70,Developer IV,Yodel,19 Amoth Trail,78607,889.0,Somewhat Agree,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Somewhat Disagree,98.0,64.0,72.0,77.0
Sankalp Jain,Jain,sankalp@gmail.com,Male,23,Software Engineer,kipi,"chandler, USA",38000,900.0,Strongly Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Strongly Agree,Neutral,Somewhat Disagree,Somewhat Disagree,90.0,62.0,50.0,3.0
Ujjwal,Sharma,ujjwal@gmail.com,Male,24,CEO,eeglu,jaipu,51000,750.0,Strongly Agree,Somewhat Agree,Neutral,Somewhat Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Neutral,75.0,76.0,50.0,3.0
